720	720	상봉
721	721	면목
722	722	사가정
723	723	용마산
724	724	중곡
725	725	군자
726	726	어린이대공원
727	727	건대입구
728	728	뚝섬유원지
729	729	청담
730	730	강남구청
731	731	학동
732	732	논현
733	733	반포
734	734	고속터미널
735	735	내방
736	736	이수
737	737	남성
738	738	숭실대입구
739	739	상도
740	740	장승배기
741	741	신대방삼거리
742	742	보라매
743	743	신풍
744	744	대림
745	745	남구로
746	746	가산디지털단지
747	747	철산
748	748	광명사거리
749	749	천왕
750	750	온수
751	751	까치울
752	752	부천종합운동장
753	753	춘의
754	754	신중동
755	755	부천시청
756	756	상동
757	757	삼산체육관
758	758	굴포천
759	759	부평구청
810	810	암사
811	811	천호
812	812	강동구청
813	813	몽촌토성
814	814	잠실
815	815	석촌
816	816	송파
817	817	가락시장
818	818	문정
819	819	장지
820	820	복정
821	821	산성
822	822	남한산성입구
823	823	단대오거리
824	824	신흥
825	825	수진
826	826	모란
901	901	개화
902	902	김포공항
903	903	공항시장
904	904	신방화
905	905	마곡나루
906	906	양천향교
907	907	가양
908	908	증미
909	909	등촌
910	910	염창
911	911	신목동
912	912	선유도
913	913	당산
914	914	국회의사당
915	915	여의도
916	916	샛강
917	917	노량진
918	918	노들
919	919	흑석
920	920	동작
921	921	구반포
922	922	신반포
923	923	고속터미널
924	924	사평
925	925	신논현
926	926	언주
927	927	선정릉
928	928	삼성중앙
929	929	봉은사
930	930	종합운동장
931	931	삼전
932	932	석촌고분
933	933	석촌
934	934	송파나루
935	935	한성백제
936	936	올림픽공원
937	937	둔촌오륜
938	938	중앙보훈병원
1022	P122	신내
1023	P123	갈매
1024	P124	별내
1025	P125	퇴계원
1026	P126	사릉
1027	P127	금곡
1028	P128	평내호평
1029	P129	천마산
1030	P130	마석
1031	P131	대성리
1032	P132	청평
1033	P133	상천
1034	P134	가평
1035	P135	굴봉산
1036	P136	백양리
1037	P137	강촌
1038	P138	김유정
1039	P139	남춘천
1040	P140	춘천
1110	K110	용산
1111	K111	이촌
1112	K112	서빙고
1113	K113	한남
1114	K114	옥수
1115	K115	응봉
1116	K116	왕십리
1117	K117	청량리
1118	K118	회기
1119	K119	중랑
1120	K120	상봉
1121	K121	망우
1122	K122	양원
1123	K123	구리
1124	K124	도농
1125	K125	양정
1126	K126	덕소
1127	K127	도심
1128	K128	팔당
1129	K129	운길산
1130	K130	양수
1131	K131	신원
1132	K132	국수
1133	K133	아신
1134	K134	오빈
1135	K135	양평
1136	K136	원덕
1137	K137	용문
1138	K138	지평
1209	K209	청량리
1210	K210	왕십리
1211	K211	서울숲
1212	K212	압구정로데오
1213	K213	강남구청
1214	K214	선정릉
1215	K215	선릉
1216	K216	한티
1217	K217	도곡
1218	K218	구룡
1219	K219	개포동
1220	K220	대모산입구
1221	K221	수서
1222	K222	복정
1223	K223	가천대
1224	K224	태평
1225	K225	모란
1226	K226	야탑
1227	K227	이매
1228	K228	서현
1229	K229	수내
1230	K230	정자
1231	K231	미금
1232	K232	오리
1233	K233	죽전
1234	K234	보정
1235	K235	구성
1236	K236	신갈
1237	K237	기흥
1238	K238	상갈
1239	K239	청명
1240	K240	영통
1241	K241	망포
1242	K242	매탄권선
1243	K243	수원시청
1244	K244	매교
1245	K245	수원
1251	K251	달월
1252	K252	월곶
1253	K253	소래포구
1254	K254	인천논현
1255	K255	호구포
1256	K256	남동인더스파크
1257	K257	원인재
1258	K258	연수
1259	K259	송도
1261	K261	인하대
1262	K262	숭의
1263	K263	신포
1264	K264	인천논현
1311	K311	효창공원앞
1312	K312	공덕
1313	K313	서강대
1314	K314	홍대입구
1315	K315	가좌
1316	K316	디지털미디어시티
1317	K317	수색
1318	K318	화전
1319	K319	강매
1320	K320	행신
1321	K321	능곡
1322	K322	대곡
1323	K323	곡산
1324	K324	백마
1325	K325	풍산
1326	K326	일산
1327	K327	탄현
1328	K328	야당
1329	K329	운정
1330	K330	금릉
1331	K331	금촌
1333	K333	월롱
1334	K334	파주
1335	K335	문산
1410	K410	판교
1411	K411	이매
1412	K412	삼동
1413	K413	경기광주
1414	K414	초월
1415	K415	곤지암
1416	K416	신둔도예촌
1417	K417	이천
1418	K418	부발
1419	K419	세종대왕릉
1420	K420	여주
1516	S16	소사
1517	S17	소새울
1518	S18	시흥대야
1519	S19	신천
1520	S20	신현
1522	S22	시흥시청
1523	S23	시흥능곡
1524	S24	달미
1525	S25	선부
1526	S26	초지
1527	S27	원곡
1528	S28	원시
1601	A01	서울
1602	A02	공덕
1603	A03	홍대입구
1604	A04	디지털미디어시티
1605	A05	김포공항
1606	A06	계양
1607	A07	검암
1608	A08	운서
1609	A09	공항화물청사
1610	A10	인천공항1터미널
1611	A11	인천공항2터미널
1612	A042	마곡나루
1613	A071	청라국제도시
1614	A072	영종
1710	I110	계양
1711	I111	귤현
1712	I112	박촌
1713	I113	임학
1714	I114	계산
1715	I115	경인교대입구
1716	I116	작전
1717	I117	갈산
1718	I118	부평구청
1719	I119	부평시장
1720	I120	부평
1721	I121	동수
1722	I122	부평삼거리
1723	I123	간석오거리
1724	I124	인천시청
1725	I125	예술회관
1726	I126	인천터미널
1727	I127	문학경기장
1728	I128	선학
1729	I129	신연수
1730	I130	원인재
1731	I131	동춘
1732	I132	동막
1733	I133	캠퍼스타운
1734	I134	테크노파크
1735	I135	지식정보단지
1736	I136	인천대입구
1737	I137	센트럴파크
1738	I138	국제업무지구
1801	I201	검단오류
1802	I202	왕길
1803	I203	검단사거리
1804	I204	마전
1805	I205	완정
1806	I206	독정
1807	I207	검암
1808	I208	검바위
1809	I209	아시아드경기장
1810	I210	서구청
1811	I211	가정
1812	I212	가정중앙시장
1813	I213	석남
1814	I214	서부여성회관
1815	I215	인천가좌
1816	I216	가재울
1817	I217	주안국가산단
1818	I218	주안국가산단
1819	I219	시민공원
1820	I220	석바위시장
1821	I221	인천시청
1822	I222	석천사거리
1823	I223	모래내시장
1824	I224	만수
1825	I225	남동구청
1826	I226	인천대공원
1827	I227	운연
1901	M01	인천공항1터미널
1902	M02	장기주차장
1903	M03	합동청사
1904	M04	파라다이스시티
1905	M05	워터파크
1906	M06	용유
2007	D07	강남구청
2008	D08	양재
2009	D09	양재시민의숲
2010	D10	청계산입구
2011	D11	판교
2012	D12	정자
2013	D13	미금
2014	D14	동천
2015	D15	수지구청
2016	D16	성복
2017	D17	상현
2018	D18	광교중앙
2019	D19	광교
2100	G100	양촌
2101	G101	구래
2102	G102	마산
2103	G103	장기주차장
2104	G104	운양
2105	G105	걸포북변
2106	G106	사우
2107	G107	풍무
2108	G108	고촌
2109	G109	김포공항
2210	Y110	기흥
2211	Y111	강남대
2212	Y112	지석
2213	Y113	어정
2214	Y114	동백
2215	Y115	초당
2216	Y116	삼가
2217	Y117	시청·용인대
2218	Y118	명지대
2219	Y119	김량장
2220	Y120	운동장·송담대
2221	Y121	고진
2222	Y122	보평
2223	Y123	둔전
2224	Y124	전대·에버랜드
2310	U110	발곡
2311	U111	회룡
2312	U112	범골
2313	U113	경전철의정부
2314	U114	의정부시청
2315	U115	흥선
2317	U117	의정부중앙
2318	U118	동오
2319	U119	새말
2320	U120	경기도청북부청사
2321	U121	효자
2322	U122	곤제
2323	U123	어룡
2324	U124	송산
2325	U125	탑석
2410	.	북한산우이
2411	.	솔밭공원
2412	.	4.19민주묘지
2413	.	가오리
2414	.	화계
2415	.	삼양
2416	.	삼양사거리
2417	.	솔샘
2418	.	북한산보국문
2419	.	정릉
2420	.	성신여대입구
2421	.	보문
2422	.	신설동
